source,method,x_col,y_col,label_column,n_points,n_label_classes,n_pred_clusters,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand,normalized_mutual_info
/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/mature_only_pca_positive_control/tmp/proj_prot_t5_pca2_96d5f86204eb.npz,pca2,pca2_1,pca2_2,major_group,1427,5,5,0.41916543813724183,1932.556953207846,0.750795424246787,0.00152750604556922,0.013869293125239513
/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/mature_only_pca_positive_control/tmp/proj_prot_t5_pca2_96d5f86204eb.npz,pca2,pca2_1,pca2_2,cysteine_group,1421,6,6,0.4103020474247754,1990.271344431537,0.7805318039918502,0.006105393245757191,0.019528016105781826
/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/mature_only_pca_positive_control/tmp/proj_prot_t5_pca2_96d5f86204eb.npz,pca2,pca2_1,pca2_2,Kmeans (n=7),1427,7,7,0.43828371405546723,2143.312797566863,0.7003176305577478,0.010445996438373703,0.02944394143549308
